"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"322",23434,2936327.88083482,1216462.27288039,2280019.51088678,484273.840319133,2855681.68272349,1026641.22180991,2720203.50603549,312869.537906467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",23507,2947677.18429235,1221815.95267961,2288260.4806029,486466.264149508,2865368.29007725,1031203.58876608,2729057.41002263,313944.487626515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",23580,2951178.05318016,1224938.31370378,2295510.56451933,487423.601311735,2873937.36949822,1033752.57756444,2737991.72284947,314100.462079013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",23653,2951285.40536403,1226569.32050279,2302202.25546694,487689.233165754,2881359.73678715,1034984.60346364,2746045.48836965,313881.761024473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",23726,2960275.58723627,1229276.3716551,2309897.53733297,488796.259502531,2890414.52056374,1037256.14363641,2757058.78157326,314996.174456572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",23799,2982680.76989265,1235676.61862682,2319388.74582992,491906.557960189,2902064.90988605,1042853.34915928,2769273.78852163,317784.811967761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",23872,2994030.1016206,1241030.39627991,2327629.6243637,494100.629394614,2911751.52283895,1047416.41796637,2778128.62552333,318858.901282491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",23945,2997530.99369329,1244152.48667601,2334879.60770179,495057.987737547,2920320.55281247,1049966.96469272,2787063.87311294,319014.117927899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",24018,2997638.78011287,1245783.90395771,2341572.35525657,495326.819464615,2927742.92279383,1051199.1779915,2795118.79673129,318796.319392489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",24091,3006629.01908273,1248490.4826412,2349267.00645292,496434.215059362,2936797.63143178,1053473.47341816,2806133.01271172,319910.561204004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",24164,3029034.26233467,1254890.89752211,2358758.05556495,499543.367460529,2948448.02341197,1059070.31255417,2818347.31766337,322698.951343613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",24237,3040383.62830085,1260244.91879969,2366998.77859195,501737.421297883,2958134.63593641,1063633.62822215,2827203.2965962,323773.062522843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",24310,3043884.53137262,1263368.4951984,2374248.81562103,502694.188770921,2966705.60686433,1066183.40353325,2836139.407499,323928.00917367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335",24383,3043992.76577418,1265000.03754624,2380941.11330245,502967.330420475,2974128.92388433,1067417.27983422,2844195.08699411,323712.14703704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336",24456,3052983.09285684,1267706.41588942,2388636.41560183,504073.723918015,2983184.21853237,1069691.06427831,2855210.09545683,324826.473692969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337",24529,3075388.43009447,1274106.95119884,2398127.70715022,507182.891412266,2994834.69133192,1075288.08308957,2867425.20926047,327615.311162005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",24602,3086737.83537818,1279460.97669943,2406368.68406269,509377.097680055,3004521.30650097,1079851.13066585,2876281.96299165,328689.500468122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",24675,3090238.73177315,1282586.34717795,2413618.76794459,510334.243367268,3013092.28578392,1082400.99794394,2885218.81209322,328844.795969845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340",24748,3090347.4277357,1284217.68362082,2420311.58736221,510600.75456215,3020515.52196512,1083635.83384671,2893274.21087067,328627.081275193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341",24821,3099337.87591479,1286924.19038876,2428006.31676832,511708.073014146,3029570.72622113,1085905.02431864,2904290.03485906,329741.52540783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",24894,3121743.350964,1293324.80886755,2437497.44752966,514817.812224796,3041221.83768517,1091503.09400344,2916506.67974572,332530.389713602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343",24967,3133092.82698948,1298678.6526483,2445738.28501152,517010.331103566,3050908.48054711,1096067.57530226,2925364.40304768,333604.648832222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344",25040,3136593.73142374,1301804.00381585,2452988.43904732,517967.709893945,3059478.02035065,1098611.39921426,2934302.13570832,333760.010655535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345",25113,3136703.13462855,1303435.49004105,2459680.95873479,518233.506658137,3066901.06076345,1099845.98943902,2942358.10915607,333542.308935934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346",25186,3145692.69852117,1306141.79093678,2467376.09647322,519340.777371482,3075955.93468472,1102119.42377641,2953374.33613697,334656.917263128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347",25259,3168098.13853307,1312542.56082464,2476867.22346014,522451.245750269,3087606.34251268,1107716.75935941,2965590.82100562,337445.592784907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348",25332,3179448.06225884,1317896.36389466,2485108.14177969,524645.698638792,3097292.95011593,1112279.45909787,2974448.88761484,338519.947821914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349",25405,3182948.97318127,1321022.38161367,2492358.31994796,525603.388944418,3105863.94088543,1114830.21540067,2983387.03173092,338675.152137296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350",25478,3183058.82779956,1322653.86568063,2499050.85931552,525872.419859822,3113287.13630754,1116062.07055958,2991443.75949694,338456.582211324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351",25551,3192048.44209465,1325360.07689715,2506746.00934346,526979.857365373,3122342.33834302,1118336.19223114,3002460.77513016,339571.404821837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352",25624,3214453.94794944,1331760.96384268,2516237.16488061,530089.263849043,3133993.43581333,1123932.62011726,3014677.86156118,342360.633869307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",25697,3225803.91113626,1337116.21408943,2524478.13109432,532283.754206321,3143680.07911032,1128495.42010283,3023536.45033868,343434.999155583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
